Dataset,#TrainingRelease,%Training,%DefectiveTraining,%DefectiveTesting,Classifier,Balancing,FeatureSelection,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
zookeeper,17,87.71,3.89,5.77,Naive Bayes,Over Sampling,Best First,24,390,2,0,0.06,1,0.74,0
zookeeper,17,87.71,3.89,5.77,Naive Bayes,SMOTE,Best First,15,47,345,9,0.24,0.62,0.74,0.29
zookeeper,17,87.71,3.89,5.77,IBk,No,No,24,2,390,0,0.92,1,1,0.96
zookeeper,17,87.71,3.89,5.77,IBk,Under Sampling,No,24,114,278,0,0.17,1,0.82,0.22
zookeeper,17,87.71,3.89,5.77,IBk,Over Sampling,No,24,2,390,0,0.92,1,1,0.96
zookeeper,17,87.71,3.89,5.77,IBk,SMOTE,No,24,2,390,0,0.92,1,1,0.96
zookeeper,17,87.71,3.89,5.77,IBk,No,Best First,11,3,389,13,0.79,0.46,0.95,0.56
zookeeper,17,87.71,3.89,5.77,IBk,Under Sampling,Best First,22,78,314,2,0.22,0.92,0.87,0.29
zookeeper,17,87.71,3.89,5.77,IBk,Over Sampling,Best First,19,34,358,5,0.36,0.79,0.94,0.45
zookeeper,17,87.71,3.89,5.77,IBk,SMOTE,Best First,11,5,387,13,0.69,0.46,0.95,0.53
zookeeper,18,94.27,4.02,4.68,Random Forest,No,No,16,1,345,1,0.94,0.94,1,0.94
zookeeper,18,94.27,4.02,4.68,Random Forest,Under Sampling,No,17,29,317,0,0.37,1,1,0.51
zookeeper,18,94.27,4.02,4.68,Random Forest,Over Sampling,No,17,2,344,0,0.89,1,1,0.94
zookeeper,18,94.27,4.02,4.68,Random Forest,SMOTE,No,16,1,345,1,0.94,0.94,1,0.94
zookeeper,18,94.27,4.02,4.68,Random Forest,No,Best First,9,0,346,8,1,0.53,0.99,0.68
zookeeper,18,94.27,4.02,4.68,Random Forest,Under Sampling,Best First,16,66,280,1,0.2,0.94,0.93,0.27
zookeeper,18,94.27,4.02,4.68,Random Forest,Over Sampling,Best First,17,33,313,0,0.34,1,0.98,0.47
zookeeper,18,94.27,4.02,4.68,Random Forest,SMOTE,Best First,12,1,345,5,0.92,0.71,0.98,0.79
zookeeper,18,94.27,4.02,4.68,Naive Bayes,No,No,15,13,333,2,0.54,0.88,0.98,0.65
zookeeper,18,94.27,4.02,4.68,Naive Bayes,Under Sampling,No,5,1,345,12,0.83,0.29,0.96,0.42
zookeeper,18,94.27,4.02,4.68,Naive Bayes,Over Sampling,No,17,28,318,0,0.38,1,0.99,0.52
zookeeper,18,94.27,4.02,4.68,Naive Bayes,SMOTE,No,17,27,319,0,0.39,1,0.98,0.53
zookeeper,18,94.27,4.02,4.68,Naive Bayes,No,Best First,8,27,319,9,0.23,0.47,0.71,0.26
zookeeper,18,94.27,4.02,4.68,Naive Bayes,Under Sampling,Best First,11,81,265,6,0.12,0.65,0.71,0.13
zookeeper,18,94.27,4.02,4.68,Naive Bayes,Over Sampling,Best First,17,346,0,0,0.05,1,0.72,0
zookeeper,18,94.27,4.02,4.68,Naive Bayes,SMOTE,Best First,10,46,300,7,0.18,0.59,0.71,0.22
zookeeper,18,94.27,4.02,4.68,IBk,No,No,17,0,346,0,1,1,1,1
zookeeper,18,94.27,4.02,4.68,IBk,Under Sampling,No,17,76,270,0,0.18,1,0.89,0.25
zookeeper,18,94.27,4.02,4.68,IBk,Over Sampling,No,17,0,346,0,1,1,1,1
zookeeper,18,94.27,4.02,4.68,IBk,SMOTE,No,17,0,346,0,1,1,1,1
zookeeper,18,94.27,4.02,4.68,IBk,No,Best First,9,0,346,8,1,0.53,0.99,0.68
zookeeper,18,94.27,4.02,4.68,IBk,Under Sampling,Best First,16,64,282,1,0.2,0.94,0.92,0.27
zookeeper,18,94.27,4.02,4.68,IBk,Over Sampling,Best First,17,33,313,0,0.34,1,0.98,0.47
zookeeper,18,94.27,4.02,4.68,IBk,SMOTE,Best First,12,1,345,5,0.92,0.71,0.98,0.79
