Release,Filename,LOC,NR,nAuth,locTouched,locAdded,max_locAdded,avg_locAdded,churn,max_churn,avg_churn,chgSetSize,max_chgSetSize,avg_chgSetSize,Buggy
1,zookeeper-jute/src/main/java/org/apache/jute/BinaryInputArchive.java,129,11,3,268,266,132,53,2630,264,239.0,0,0,0,N
1,zookeeper-jute/src/main/java/org/apache/jute/BinaryOutputArchive.java,143,12,4,323,310,148,31,3231,297,269.0,0,0,0,N
1,zookeeper-jute/src/main/java/org/apache/jute/CsvInputArchive.java,207,10,3,422,421,210,140,3990,420,399.0,0,0,0,N
1,zookeeper-jute/src/main/java/org/apache/jute/ToStringOutputArchive.java,147,12,5,310,305,149,38,3420,300,285.0,0,0,0,N
1,zookeeper-jute/src/main/java/org/apache/jute/Index.java,37,10,3,80,79,39,26,741,78,74.0,0,0,0,N
1,zookeeper-jute/src/main/java/org/apache/jute/InputArchive.java,42,10,3,92,91,45,30,855,90,86.0,0,0,0,N
1,zookeeper-jute/src/main/java/org/apache/jute/OutputArchive.java,44,11,4,107,102,49,17,1020,98,93.0,0,0,0,N
1,zookeeper-jute/src/main/java/org/apache/jute/Record.java,30,10,3,68,67,33,22,627,66,63.0,0,0,0,N
1,zookeeper-jute/src/main/java/org/apache/jute/RecordReader.java,94,10,3,198,197,98,66,1862,196,186.0,0,0,0,N
1,zookeeper-jute/src/main/java/org/apache/jute/RecordWriter.java,113,10,3,236,235,117,78,2223,234,222.0,0,0,0,N
1,zookeeper-jute/src/main/java/org/apache/jute/Utils.java,274,11,4,560,557,276,139,5798,554,527.0,0,0,0,N
1,zookeeper-jute/src/main/java/org/apache/jute/XmlInputArchive.java,247,10,3,504,503,251,168,4769,502,477.0,0,0,0,N
1,zookeeper-jute/src/main/java/org/apache/jute/XmlOutputArchive.java,247,11,4,515,510,253,73,5304,506,482.0,0,0,0,N
1,zookeeper-jute/src/main/java/org/apache/jute/compiler/CGenerator.java,84,11,3,184,178,84,15,1591,172,145.0,0,0,0,N
1,zookeeper-jute/src/main/java/org/apache/jute/compiler/CppGenerator.java,80,11,3,170,166,79,21,1663,162,151.0,0,0,0,N
1,zookeeper-jute/src/main/java/org/apache/jute/compiler/JBoolean.java,41,11,3,90,88,43,22,860,86,78.0,0,0,0,N
1,zookeeper-jute/src/main/java/org/apache/jute/compiler/JBuffer.java,105,10,3,228,221,107,28,2033,214,203.0,0,0,0,N
1,zookeeper-jute/src/main/java/org/apache/jute/compiler/JByte.java,33,10,3,72,71,35,24,665,70,67.0,0,0,0,N
1,zookeeper-jute/src/main/java/org/apache/jute/compiler/JCompType.java,53,10,3,112,111,55,37,1045,110,105.0,0,0,0,N
1,zookeeper-jute/src/main/java/org/apache/jute/compiler/JDouble.java,38,10,3,84,83,41,28,779,82,78.0,0,0,0,N
1,zookeeper-jute/src/main/java/org/apache/jute/compiler/JField.java,96,10,3,200,199,99,66,1881,198,188.0,0,0,0,N
1,zookeeper-jute/src/main/java/org/apache/jute/compiler/JFile.java,72,11,3,158,153,73,17,1535,148,140.0,0,0,0,N
1,zookeeper-jute/src/main/java/org/apache/jute/compiler/JFloat.java,37,10,3,82,81,40,27,760,80,76.0,0,0,0,N
1,zookeeper-jute/src/main/java/org/apache/jute/compiler/JInt.java,33,10,3,72,71,35,24,665,70,67.0,0,0,0,N
1,zookeeper-jute/src/main/java/org/apache/jute/compiler/JLong.java,37,10,3,80,79,39,26,741,78,74.0,0,0,0,N
1,zookeeper-jute/src/main/java/org/apache/jute/compiler/JMap.java,99,10,3,206,204,101,51,1919,202,192.0,0,0,0,N
1,zookeeper-jute/src/main/java/org/apache/jute/compiler/JRecord.java,500,13,4,1038,1027,508,73,11682,1016,899.0,0,0,0,N
1,zookeeper-jute/src/main/java/org/apache/jute/compiler/JString.java,45,10,3,96,95,47,32,893,94,89.0,0,0,0,N
1,zookeeper-jute/src/main/java/org/apache/jute/compiler/JType.java,138,10,3,286,285,142,95,2698,284,270.0,0,0,0,N
1,zookeeper-jute/src/main/java/org/apache/jute/compiler/JVector.java,103,11,4,220,216,106,36,2226,212,202.0,0,0,0,N
1,zookeeper-jute/src/main/java/org/apache/jute/compiler/JavaGenerator.java,59,11,3,127,124,59,16,1242,121,113.0,0,0,0,N
1,src/java/main/org/apache/jute/compiler/generated/ParseException.java,197,10,3,422,421,210,140,3990,420,399.0,362,159,91,N
1,src/java/main/org/apache/jute/compiler/generated/Rcc.java,493,11,3,1094,1069,519,89,10905,1044,991.0,369,159,74,N
1,src/java/main/org/apache/jute/compiler/generated/RccConstants.java,82,10,3,178,177,88,59,1672,176,167.0,362,159,91,N
1,src/java/main/org/apache/jute/compiler/generated/RccTokenManager.java,825,10,3,1670,1668,833,556,15827,1666,1583.0,362,159,91,N
1,src/java/main/org/apache/jute/compiler/generated/SimpleCharStream.java,386,10,3,916,915,457,305,8683,914,868.0,362,159,91,N
1,src/java/main/org/apache/jute/compiler/generated/Token.java,88,10,3,200,199,99,66,1881,198,188.0,362,159,91,N
1,src/java/main/org/apache/jute/compiler/generated/TokenMgrError.java,137,10,3,304,303,151,101,2869,302,287.0,362,159,91,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/AsyncCallback.java,44,10,4,126,114,50,14,952,102,95.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/ClientCnxn.java,942,34,6,5807,3841,844,20,50956,1875,1499.0,0,0,0,Y
1,zookeeper-server/src/main/java/org/apache/zookeeper/ClientWatchManager.java,36,3,2,49,44,41,11,122,42,41.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/CreateMode.java,76,1,1,89,89,89,89,89,89,89.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/KeeperException.java,282,13,3,582,528,138,38,5276,474,406.0,0,0,0,Y
1,zookeeper-server/src/main/java/org/apache/zookeeper/ServerAdminClient.java,271,14,4,1698,1136,264,31,6339,574,453.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/Version.java,69,14,2,304,229,76,21,1376,154,98.0,0,0,0,N
1,zookeeper-server/src/main/java/org/apache/zookeeper/WatchedEvent.java,77,2,1,85,83,73,28,154,81,77.0,0,0,0,N
