Release;Filename;LOC;NR;nAuth;locTouched;locAdded;max_locAdded;avg_locAdded;churn;max_churn;avg_churn;chgSetSize;max_chgSetSize;avg_chgSetSize;Buggy
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java;130;1;1;144;144;144;144.0;144;144;144.0;0;0;0.0;Y
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java;91;1;1;98;98;98;98.0;98;98;98.0;0;0;0.0;N
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java;157;7;7;47;25;25;12.0;3;3;12.0;399;399;141.0;Y
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java;137;4;4;95;87;87;43.0;79;79;43.0;197;197;65.0;Y
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java;355;11;11;376;280;280;131.0;184;184;131.0;577;577;175.0;Y
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java;114;3;3;89;82;82;14.0;75;75;14.0;116;116;37.0;N
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java;468;8;8;58;35;35;16.0;12;16;16.0;465;465;162.0;N
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java;509;9;9;190;110;110;47.0;30;34;47.0;540;540;190.0;Y
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java;121;1;1;0;0;0;0.0;0;0;0.0;0;0;0.0;Y
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java;164;3;3;21;11;11;6.0;1;1;6.0;127;127;42.0;N
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java;137;3;3;21;11;11;6.0;1;1;6.0;127;127;42.0;N
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java;83;6;6;813;71;71;32.0;-671;3;32.0;356;356;129.0;N
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java;207;6;6;441;233;233;137.0;25;29;137.0;313;313;110.0;Y
